FID_gggg,Y_Bike_accidents_density,X1_Proportion_of_mainroad,X2_Proportion_of_busline,X3_Proportion_of_cycleline,X4_Proportion_of_mixedline,X5_Proportion_of_20limit,X6_Cross_road_density,X7_Carpark_density,X8_Altitude_STD,X9_TfcLight_density,X10_Light_density,X11_Light_flux_density,X12_Limit30
46,0.003022,0.283747975,0.004886498,0.258276703,0.329262077,0,0.027667419,0.050029678,6.941187277,0.109393753,0.122153,0.892686939,0.321852601
47,0.001904,0.224955789,0.026970659,0.589783905,0.009585079,0,0.027758696,0.010618711,8.755856299,0.055863653,0.13763927,1.141985462,0.376114845
58,0.002107,0.10890146,0.005525873,0.147259484,0.106471251,0,0.027099319,0.031599912,1.179839227,0.045101693,0.122282084,1.186157232,0.113221728
60,0.001098,0.266947257,0.031775445,0.176328299,0.080893366,0.008901974,0.030205987,0.047480817,1.551062363,0.046432344,0.094811852,0.908971506,0.097450177
61,0.002123,0.275759334,0.030384585,0.06459448,0.349157022,0,0.031290705,0.03570493,5.110735268,0.08649645,0.091804695,1.035149619,0.278469577
62,0.00254,0.207555671,0.015962231,0.128126971,0.272699463,0.071385984,0.028606722,0.041549298,5.078259592,0.082917158,0.076566828,0.789089811,0.286465616
63,0.002927,0.079795209,0.003778577,0.122817165,0.237078741,0.040708173,0.033420381,0.038835946,8.331097254,0.068109272,0.093625855,0.902841825,0.454367668
64,0.003661,0.098135724,0.094581328,0.351565724,0.120732563,0,0.030652388,0.034169875,5.146340669,0.108252463,0.139766276,1.550235061,0.501796861
65,0.002833,0.16030597,0.058081967,0.473228342,0.223300494,0.067895099,0.03133701,0.032339445,3.844991947,0.082940653,0.157077306,1.22022319,0.696007087
66,0.002823,0.110874265,0.012362258,0.345963841,0.058211047,0.024457953,0.030759781,0.044296388,4.762555845,0.052187942,0.103166231,0.852086706,0.915075178
68,0.001461,0.383262597,0.0308153,0.456232792,0.020978655,0,0.030312179,0.024249743,2.193953287,0.082763074,0.09126131,1.119227676,0.473641082
76,0.000811,0.210507786,0.012509856,0.001711928,0.078470661,0.009526747,0.031216076,0.03713472,9.946966118,0.050499401,0.082861021,0.781882612,0.018600344
79,0.001403,0.190961896,0.023204247,0.102869251,0.091275185,0,0.025245458,0.04667293,1.998218399,0.096228829,0.108228213,1.030624701,0.023869388
80,0.002739,0.117985116,0.093430034,0.091207866,0.271423697,0.104915306,0.03204853,0.03191157,1.799223438,0.073912493,0.089662839,0.865324873,0.485994106
81,0.003934,0.069831048,0.059332587,0.175142412,0.220835477,0.192399796,0.03829066,0.019476429,2.11618613,0.06185714,0.121766637,1.076796785,0.358342399
83,0.004145,0.166803237,0.017387571,0.29922215,0.212095,0.04722528,0.032346653,0.036961499,1.172155573,0.052216129,0.08310996,0.870656267,0.738570759
